itemName,itemUrl,itemProgress,itemProgresst
Excel2016进阶篇之图表制作,https://study.163.com/course/courseMain.htm?courseId=1005045022,0,0
设计训练营,https://study.163.com/course/courseMain.htm?courseId=1005692001,,
Linux运维与网络云计算,https://study.163.com/course/courseMain.htm?courseId=1005574006,,
《Python 应用基础》微专业体验课,https://mooc.study.163.com/learn/term/2402998002.htm,,
PPT设计思维：高端发布会PPT制作,https://study.163.com/course/courseMain.htm?courseId=1209338808,,
PPT高手常用20个工具,https://study.163.com/course/courseMain.htm?courseId=1005568003,,
成人自学直达流利口语第1季,https://study.163.com/course/courseMain.htm?courseId=1459015,,
Linux系统管理与运维（完整版）,https://study.163.com/course/courseMain.htm?courseId=1003227025,,
高效表达：三大必备职场表达术,https://study.163.com/course/courseMain.htm?courseId=1004016042,,
PPT版式设计思维：80个实战版式,https://study.163.com/course/courseMain.htm?courseId=1209370814,0,0
微信公众号和微信支付入门,https://study.163.com/course/courseMain.htm?courseId=1209182855,0,0
Python从入门到精通课（零基础）,https://study.163.com/course/courseMain.htm?courseId=1209332928,0,0
提升你的产品演讲技巧,https://study.163.com/course/courseMain.htm?courseId=1004111092,,
职场应用文写作,https://study.163.com/course/courseMain.htm?courseId=1004491001,,
新概念英语第一册,https://study.163.com/course/courseMain.htm?courseId=1003808071,,
前端自学面试找工作必备知识,https://study.163.com/course/courseMain.htm?courseId=1005210001,,
git新手入门最佳指南,https://study.163.com/course/courseMain.htm?courseId=1209208803,,
玩转信用卡的四大理财功能,https://study.163.com/course/courseMain.htm?courseId=1004578030,,
html+css零基础转行入门实战80课,https://study.163.com/course/courseMain.htm?courseId=1004713057,0,0
商务实战礼仪,https://study.163.com/course/courseMain.htm?courseId=1376005,,
室内家装CAD施工图方案设计师,https://study.163.com/course/courseMain.htm?courseId=1004603024,,
Excel技高一筹，神乎其技,https://study.163.com/course/courseMain.htm?courseId=1005603016,,
活动全案策划+招商策略+活动执行,https://study.163.com/course/courseMain.htm?courseId=1004269002,,
Android Studio入门到精通,https://study.163.com/course/courseMain.htm?courseId=1005646017,0,0
2020年初级会计职称双科完整录播,https://study.163.com/course/courseMain.htm?courseId=1006357024,,
职场必修课——商务PPT精英训练营,https://study.163.com/course/courseMain.htm?courseId=1003221018,,
《2019年 初级会计实务》,https://study.163.com/course/courseMain.htm?courseId=1436032,,
信息安全数学基础,https://mooc.study.163.com/learn/term/1000003013.htm,,
物联网开发，So easy!,https://study.163.com/course/courseMain.htm?courseId=1005783026,,
15节课教你掌控自己的时间和生活,https://study.163.com/course/courseMain.htm?courseId=1004113001,,
从记忆菜鸟到记忆大师,https://study.163.com/course/courseMain.htm?courseId=1096044,0,0
【福利】锐普的PPT基础课,https://study.163.com/course/courseMain.htm?courseId=1006408009,,
总裁说:职场快速进化指南,https://study.163.com/course/courseMain.htm?courseId=1005222012,,
